Area,Latitude,Longitude
North Inner City,53.35582495,-6.237956930219356
O'Connell Street,53.3517776,-6.2614672
Mountjoy Square,53.356845050000004,-6.257068256918991
Talbot Street,53.3504395,-6.2562826
Clontarf,53.3608138,-6.1968538
Fairview,53.3610909,-6.2309621
Marino,53.3663095,-6.2347491
East Wall,53.350961,-6.235314328767993
Artane,53.3829928,-6.205268
Coolock,53.3893213,-6.200352
Harmonstown,53.3783621,-6.1924014
Raheny,53.3801975,-6.1751462
Phibsborough,53.3610883,-6.2713186
Cabra,53.3669485,-6.2933936
Smithfield,53.3484314,-6.2782374
Broadstone,53.3535962,-6.2737974
Glasnevin ,53.3782873,-6.2662007
Drumcondra,53.3680988,-6.2554727
Santry,53.3971578,-6.2454723
Ballymun,53.3948616,-6.2651936
Finglas,53.389167,-6.296944
Ballymun ,53.3948616,-6.2651936
Dubber,53.4080436,-6.3009228
Howth ,53.38945405,-6.114519560232189
Sutton ,53.388455050000005,-6.133623592466143
Baldoyle ,53.3921861,-6.152257108962083
Donaghmede,53.3948612,-6.1635775
Blanchardstown ,53.40982475,-6.377942415816751
Castleknock ,53.36259135,-6.333348556137175
Clonee ,53.4067306,-6.418708
Clonsilla ,53.3829431,-6.4231873
Mulhuddart,53.41621275,-6.344698843609723
Darndale ,53.4008168,-6.1946364
Belcamp ,53.4068274,-6.196926187199132
Priorswood,53.40288005,-6.211049951788473
South Inner City ,53.3377889,-6.227447044146722
St. Stephen's Green ,53.337991349999996,-6.259071835518384
Merrion Square ,53.3399312,-6.2472882
Leeson Street,53.3351077,-6.2561489
Temple Bar,53.3452461,-6.2641573264190775
Ballsbridge,53.3291947,-6.2313316
Donnybrook,53.3220419,-6.236355
Ringsend ,53.341944,-6.226389
Irishtown ,53.3379644,-6.2224691
Sandymount ,53.32799985,-6.220962401377369
Merrion,53.3162767,-6.204697
Rathmines ,53.3265199,-6.2648571
Ranelagh ,53.3252185,-6.2550504
Dartry,53.3099564,-6.2631069
Harold's Cross ,53.3263097,-6.2780042
Terenure ,53.3098292,-6.2832703
Kimmage,53.3160562,-6.2990949
The Liberties ,53.3399932,-6.2779041
Kilmainham ,53.3410462,-6.3072776
Inchicore ,53.3394635,-6.3209233
Portobello ,53.3312645,-6.2688255
Dolphin's Barn,53.3334215,-6.2914261
Ballyfermot ,53.3423203,-6.3488839
Cherry Orchard,53.32998585,-6.276184427657005
Crumlin ,53.3202316,-6.3161673
Drimnagh ,53.3299263,-6.3236515
Walkinstown,53.3216133,-6.3301177
Dundrum ,53.277996599999994,-6.2423836132050905
Churchtown ,53.307972,-6.2545665
Rathfarnham,53.297328500000006,-6.280709603342477
Ballinteer ,53.2764266,-6.2528361
Ballyboden ,53.2838874,-6.2955729
Knocklyon,53.2838787,-6.3181903
Carrickmines ,53.2532351,-6.1718916
Foxrock ,53.266813,-6.1838379
Sandyford ,53.276217200000005,-6.213049656649218
Stepaside,53.2531104,-6.2143744
Palmerstown ,53.34487675,-6.362196004897666
Chapelizod,53.3479155,-6.3451971
Clondalkin ,53.3185511,-6.401595119672928
Rowlagh ,53.3451553,-6.397182980197682
Quarryvale,53.3583934,-6.3946039
Tallaght ,53.2840894,-6.3759556
Firhouse ,53.2808061,-6.3401853
Jobstown ,53.279083,-6.400948
Citywest,53.3398818,-6.2588202
Blackrock,53.30389075,-6.188141861616986
Dun Laoghaire,53.2746826,-6.156414558522492
Dalkey,53.27783995,-6.107289035225415
Killiney,53.267559399999996,-6.114321913573411
Sandycove,53.2859485,-6.1155829
Monkstown,53.3245109,-6.215076921272023
Cabinteely,53.2612843,-6.1505691
Foxrock,53.266813,-6.1838379
Stillorgan,53.3136623,-6.2225863
Mount Merrion,53.299509,-6.2192365823169045
Deansgrange,53.2782203,-6.1637315
Shankill,53.2366973,-6.1170439
Swords,53.3909638,-6.2463908
Malahide,53.42838385,-6.150639216176364
Portmarnock,53.4176779,-6.1513456
Baldoyle,53.3921861,-6.152257108962083
Sutton,53.388455050000005,-6.133623592466143
Howth,53.38945405,-6.114519560232189
Beaumont,53.3854611,-6.2332518
Lucan,53.3521237,-6.3563344
Clonsilla,53.3829431,-6.4231873
Blanchardstown,53.40982475,-6.377942415816751
Palmerstown,53.34487675,-6.362196004897666
Castleknock,53.36259135,-6.333348556137175
Clondalkin,53.3185511,-6.401595119672928
Rathcoole,53.28098935,-6.470434354978935
Newcastle,53.2999844,-6.5013576
Rathgar,53.3118481,-6.2744692
Glasnevin,53.3782873,-6.2662007
Sandymount,53.32799985,-6.220962401377369
Harold's Cross,53.3263097,-6.2780042
Ringsend,53.341944,-6.226389
Milltown,53.3131646,-6.2469919
Kilbarrack,53.386431,-6.1560593
Clonskeagh,53.313893,-6.240595407506975
Goatstown,53.2927477,-6.2293398
Phoenix Park,53.3589378,-6.330710473854637
St. Stephen's Green,53.337991349999996,-6.259071835518384
Herbert Park,53.3258681,-6.234459944270316
Marlay Park,53.27329305,-6.270476499357986
Ticknock,53.26873055,-6.245107482667365
Dublin Mountains,53.2441089,-6.290729
Dollymount Strand,53.36698625,-6.145687383106732
Dollymount,53.3674578,-6.1674246
Bray,53.2066475,-6.1174974
Maynooth,53.3811405,-6.5773283
Leixlip,53.370034200000006,-6.506813042271823
Greystones,53.25541145,-6.112953212019128
Celbridge,53.33273305,-6.595348466826142
Ashbourne,53.5048979,-6.3919267
